ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) mm 250 cm;;;1070128061;Dural GmbH;10000;11,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4210;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) mm Blister 2 Stück;;;1070128062;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4220;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) mm Blister 2 Stück;;;1070128064;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4230;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm 250 cm;;;1070128081;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4240;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Blister 2 Stück;;;1070128082;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4250;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Blister 2 Stück;;;1070128084;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4260;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm 250 cm;;;1070128101;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4270;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Blister 2 Stück;;;1070128102;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4280;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Blister 2 Stück;;;1070128104;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4290;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm 250 cm;;;1070128111;Dural GmbH;10000;13,38;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4300;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Blister 2 Stück;;;1070128112;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4310;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Blister 2 Stück;;;1070128114;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4320;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 12,5 mm 250 cm;;;1070128121;Dural GmbH;10000;14,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4330;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 12,5 mm Blister 2 Stück;;;1070128122;Dural GmbH;10000;7,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4340;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 12,5 mm Blister 2 Stück;;;1070128124;Dural GmbH;10000;7,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4350;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) mm 250 cm;;;1070138061;Dural GmbH;10000;13;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4360;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) mm Blister 2 Stück;;;1070138062;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4370;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) mm Blister 2 Stück;;;1070138064;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4380;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 8 mm 250 cm;;;1070138081;Dural GmbH;10000;13,64;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4390;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 8 mm Blister 2 Stück;;;1070138082;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4400;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 8 mm Blister 2 Stück;;;1070138084;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4410;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 10 mm 250 cm;;;1070138101;Dural GmbH;10000;15,66;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4420;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 10 mm Blister 2 Stück;;;1070138102;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4430;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 10 mm Blister 2 Stück;;;1070138104;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4440;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 11 mm 250 cm;;;1070138111;Dural GmbH;10000;16,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4450;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 11 mm Blister 2 Stück;;;1070138112;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4460;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 11 mm Blister 2 Stück;;;1070138114;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4470;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm 250 cm;;;1070138121;Dural GmbH;10000;17,16;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4480;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm Blister 2 Stück;;;1070138122;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4490;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm Blister 2 Stück;;;1070138124;Dural GmbH;10000;7,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4500;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm 250 cm;;;1070168061;Dural GmbH;10000;11,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4510;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm Blister 2 Stück;;;1070168062;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4520;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm Blister 2 Stück;;;1070168064;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4530;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm 250 cm;;;1070168081;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4540;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm Blister 2 Stück;;;1070168082;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4550;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm Blister 2 Stück;;;1070168084;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4560;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm 250 cm;;;1070168101;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4570;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm Blister 2 Stück;;;1070168102;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4580;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm Blister 2 Stück;;;1070168104;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4590;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm 250 cm;;;1070168111;Dural GmbH;10000;13,38;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4600;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm Blister 2 Stück;;;1070168112;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4610;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm Blister 2 Stück;;;1070168114;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4620;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm 250 cm;;;1070168121;Dural GmbH;10000;14,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4630;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm Blister 2 Stück;;;1070168122;Dural GmbH;10000;7,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4640;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm Blister 2 Stück;;;1070168124;Dural GmbH;10000;7,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4650;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm 250 cm;;;1070218061;Dural GmbH;10000;11,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4660;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm Blister 2 Stück;;;1070218062;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4670;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm Blister 2 Stück;;;1070218064;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4680;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm 250 cm;;;1070218081;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4690;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm Blister 2 Stück;;;1070218082;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4700;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm Blister 2 Stück;;;1070218084;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4710;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 10 mm 250 cm;;;1070218101;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4720;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 10 mm Blister 2 Stück;;;1070218102;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4730;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 10 mm Blister 2 Stück;;;1070218104;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4740;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 11 mm 250 cm;;;1070218111;Dural GmbH;10000;13,38;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4750;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 11 mm Blister 2 Stück;;;1070218112;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4760;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 11 mm Blister 2 Stück;;;1070218114;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4770;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 12,5 mm 250 cm;;;1070218121;Dural GmbH;10000;14,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4780;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 12,5 mm Blister 2 Stück;;;1070218122;Dural GmbH;10000;7,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4790;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 12,5 mm Blister 2 Stück;;;1070218124;Dural GmbH;10000;7,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4800;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) mm 250 cm;;;1070378061;Dural GmbH;10000;11,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4810;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) mm Blister 2 Stück;;;1070378062;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4820;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) mm Blister 2 Stück;;;1070378064;Dural GmbH;10000;7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4830;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 8 mm 250 cm;;;1070378081;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4840;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 8 mm Blister 2 Stück;;;1070378082;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4850;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 8 mm Blister 2 Stück;;;1070378084;Dural GmbH;10000;7,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4860;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 10 mm 250 cm;;;1070378101;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4870;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 10 mm Blister 2 Stück;;;1070378102;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4880;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 10 mm Blister 2 Stück;;;1070378104;Dural GmbH;10000;7,2;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4890;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 11 mm 250 cm;;;1070378111;Dural GmbH;10000;13,38;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4900;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 11 mm Blister 2 Stück;;;1070378112;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4910;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet staubgrau matt (RAL 7037) 11 mm Blister 2 Stück;;;1070378114;Dural GmbH;10000;7,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.010.4920;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
