ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet matt schwarz matt (RAL 9005) 8 mm 250 cm;;;103081833;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACM 811, 250;;15.07.2026;;;;;020.010.2070;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet sand (RAL 0808005) 8 mm 300 cm;;;10322005;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 880, 300;;15.07.2026;;;;;020.010.2080;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet betongrau (RAL 0006500) 8 mm 300 cm;;;10322065;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 865, 300;;15.07.2026;;;;;020.010.2090;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet sand (RAL 0808005) 300 cm;;;10322105;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1080, 300;;15.07.2026;;;;;020.010.2100;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet betongrau (RAL 0006500) 300 cm;;;10322165;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1065, 300;;15.07.2026;;;;;020.010.2110;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet sand (RAL 0808005) 8 mm 250 cm;;;10328005;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 880, 250;;15.07.2026;;;;;020.010.2120;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet betongrau (RAL 0006500) 8 mm 250 cm;;;10328065;Dural GmbH;10000;12,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 865, 250;;15.07.2026;;;;;020.010.2130;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet sand (RAL 0808005) 250 cm;;;10328105;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1080, 250;;15.07.2026;;;;;020.010.2140;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet beige 6 mm 250 cm;;;103281060;Dural GmbH;10000;16,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 632, 250;;15.07.2026;;;;;020.010.2150;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet beige 6 mm Blister 2 Stück;;;1032810602;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 632-Y, 2;;15.07.2026;;;;;020.010.2160;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet beige 6 mm Blister 2 Stück;;;1032810604;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 632-YI, 2;;15.07.2026;;;;;020.010.2170;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet beige 8 mm 250 cm;;;103281080;Dural GmbH;10000;16,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 832, 250;;15.07.2026;;;;;020.010.2180;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet beige 8 mm Blister 2 Stück;;;1032810802;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 832-Y, 2;;15.07.2026;;;;;020.010.2190;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet beige 8 mm Blister 2 Stück;;;1032810804;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 832-YI, 2;;15.07.2026;;;;;020.010.2200;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet beige 250 cm;;;103281100;Dural GmbH;10000;17,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1032, 250;;15.07.2026;;;;;020.010.2210;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet beige Blister 2 Stück;;;1032811002;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1032-Y, 2;;15.07.2026;;;;;020.010.2220;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet beige Blister 2 Stück;;;1032811004;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1032-YI, 2;;15.07.2026;;;;;020.010.2230;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet beige 250 cm;;;103281110;Dural GmbH;10000;18,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1132, 250;;15.07.2026;;;;;020.010.2240;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet beige Blister 2 Stück;;;1032811102;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1132-Y, 2;;15.07.2026;;;;;020.010.2250;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet beige Blister 2 Stück;;;1032811104;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1132-YI, 2;;15.07.2026;;;;;020.010.2260;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet beige 250 cm;;;103281125;Dural GmbH;10000;19,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1232, 250;;15.07.2026;;;;;020.010.2270;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet beige Blister 2 Stück;;;1032811252;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1232-Y, 2;;15.07.2026;;;;;020.010.2280;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet beige Blister 2 Stück;;;1032811254;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1232-YI, 2;;15.07.2026;;;;;020.010.2290;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet betongrau (RAL 0006500) 250 cm;;;10328165;Dural GmbH;10000;13,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1065, 250;;15.07.2026;;;;;020.010.2300;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz Blister 2 Stück;;;103310102;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 1033-Y, 2;;15.07.2026;;;;;020.010.2310;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium pulverbeschichtet schwarz Blister 2 Stück;;;103310104;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 1033-YI, 2;;15.07.2026;;;;;020.010.2320;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz Blister 2 Stück;;;103311102;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 1133-Y, 2;;15.07.2026;;;;;020.010.2330;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium pulverbeschichtet schwarz Blister 2 Stück;;;103311104;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 1133-YI, 2;;15.07.2026;;;;;020.010.2340;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz Blister 2 Stück;;;103312102;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 1233-Y, 2;;15.07.2026;;;;;020.010.2350;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium pulverbeschichtet schwarz Blister 2 Stück;;;103312104;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 1233-YI, 2;;15.07.2026;;;;;020.010.2360;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz 6 mm Blister 2 Stück;;;103360102;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 633-Y, 2;;15.07.2026;;;;;020.010.2370;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium pulverbeschichtet schwarz 6 mm Blister 2 Stück;;;103360104;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 633-YI, 2;;15.07.2026;;;;;020.010.2380;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium pulverbeschichtet schwarz 8 mm Blister 2 Stück;;;103380102;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 833-Y, 2;;15.07.2026;;;;;020.010.2390;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium pulverbeschichtet schwarz 8 mm Blister 2 Stück;;;103380104;Dural GmbH;10000;6,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRAC 833-YI, 2;;15.07.2026;;;;;020.010.2400;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarz 6 mm 250 cm;;;10338061;Dural GmbH;10000;10,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 633, 250;;15.07.2026;;;;;020.010.2410;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarz 8 mm 250 cm;;;10338081;Dural GmbH;10000;11,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 833, 250;;15.07.2026;;;;;020.010.2420;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarz 250 cm;;;10338101;Dural GmbH;10000;12,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1033, 250;;15.07.2026;;;;;020.010.2430;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet anthrazit 6 mm 250 cm;;;103381060;Dural GmbH;10000;16,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 633, 250;;15.07.2026;;;;;020.010.2440;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet anthrazit 6 mm Blister 2 Stück;;;1033810602;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 633-Y, 2;;15.07.2026;;;;;020.010.2450;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet anthrazit 6 mm Blister 2 Stück;;;1033810604;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 633-YI, 2;;15.07.2026;;;;;020.010.2460;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet anthrazit 8 mm 250 cm;;;103381080;Dural GmbH;10000;16,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 833, 250;;15.07.2026;;;;;020.010.2470;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet anthrazit 8 mm Blister 2 Stück;;;1033810802;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 833-Y, 2;;15.07.2026;;;;;020.010.2480;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet anthrazit 8 mm Blister 2 Stück;;;1033810804;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 833-YI, 2;;15.07.2026;;;;;020.010.2490;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet anthrazit 250 cm;;;103381100;Dural GmbH;10000;17,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1033, 250;;15.07.2026;;;;;020.010.2500;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet anthrazit Blister 2 Stück;;;1033811002;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1033-Y, 2;;15.07.2026;;;;;020.010.2510;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet anthrazit Blister 2 Stück;;;1033811004;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1033-YI, 2;;15.07.2026;;;;;020.010.2520;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarz 11 mm 250 cm;;;10338111;Dural GmbH;10000;12,66;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1133, 250;;15.07.2026;;;;;020.010.2530;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet anthrazit 11 mm 250 cm;;;103381110;Dural GmbH;10000;18,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1133, 250;;15.07.2026;;;;;020.010.2540;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet anthrazit 11 mm Blister 2 Stück;;;1033811102;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1133-Y, 2;;15.07.2026;;;;;020.010.2550;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet anthrazit 11 mm Blister 2 Stück;;;1033811104;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1133-YI, 2;;15.07.2026;;;;;020.010.2560;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet anthrazit 12,5 mm 250 cm;;;103381125;Dural GmbH;10000;19,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1233, 250;;15.07.2026;;;;;020.010.2570;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet anthrazit 12,5 mm Blister 2 Stück;;;1033811252;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1233-Y, 2;;15.07.2026;;;;;020.010.2580;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet anthrazit 12,5 mm Blister 2 Stück;;;1033811254;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1233-YI, 2;;15.07.2026;;;;;020.010.2590;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarz 12,5 mm 250 cm;;;10338121;Dural GmbH;10000;13,24;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRAC 1233, 250;;15.07.2026;;;;;020.010.2600;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braun 6 mm 250 cm;;;103581060;Dural GmbH;10000;16,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 635, 250;;15.07.2026;;;;;020.010.2610;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet braun 6 mm Blister 2 Stück;;;1035810602;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 635-Y, 2;;15.07.2026;;;;;020.010.2620;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet braun 6 mm Blister 2 Stück;;;1035810604;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 635-YI, 2;;15.07.2026;;;;;020.010.2630;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braun 8 mm 250 cm;;;103581080;Dural GmbH;10000;16,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 835, 250;;15.07.2026;;;;;020.010.2640;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet braun 8 mm Blister 2 Stück;;;1035810802;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 835-Y, 2;;15.07.2026;;;;;020.010.2650;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet braun 8 mm Blister 2 Stück;;;1035810804;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 835-YI, 2;;15.07.2026;;;;;020.010.2660;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braun 10 mm 250 cm;;;103581100;Dural GmbH;10000;17,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1035, 250;;15.07.2026;;;;;020.010.2670;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet braun 10 mm Blister 2 Stück;;;1035811002;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1035-Y, 2;;15.07.2026;;;;;020.010.2680;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet braun 10 mm Blister 2 Stück;;;1035811004;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1035-YI, 2;;15.07.2026;;;;;020.010.2690;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braun 11 mm 250 cm;;;103581110;Dural GmbH;10000;18,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1135, 250;;15.07.2026;;;;;020.010.2700;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet braun 11 mm Blister 2 Stück;;;1035811102;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1135-Y, 2;;15.07.2026;;;;;020.010.2710;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Innenecke Aluminium strukturbeschichtet braun 11 mm Blister 2 Stück;;;1035811104;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1135-YI, 2;;15.07.2026;;;;;020.010.2720;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braun 12,5 mm 250 cm;;;103581125;Dural GmbH;10000;19,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DRACS 1235, 250;;15.07.2026;;;;;020.010.2730;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke Aluminium strukturbeschichtet braun 12,5 mm Blister 2 Stück;;;1035811252;Dural GmbH;10000;9,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DRACS 1235-Y, 2;;15.07.2026;;;;;020.010.2740;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
