Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema),Einkaufspreis EUR netto,Lieferanten Firmenname,Lieferantennummer,"Verkaufspreis €, BE",Zolltarifnummer,weclapp Artikel-ID,weclapp Bezugsquelle-ID,weclapp Breite (m),weclapp Einheit-ID,weclapp Erstellt am,weclapp Geändert am,weclapp Kategorie-ID,weclapp Version
020.010.4470,1070138114,Profile,Abschlussprofile rund,Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 11 mm Blister 2 Stück,"Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: strukturbeschichtet, Farbe: braungrau (RAL 7013), Profilhöhe: 11 mm, Verpackung: Blister 2 Stück.",Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 11 mm Blister 2 Stück,"DRACS 110-7013-YI, 2",4018448187838,STORABLE,Stk.,gid://shopify/Product/15970088223050,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,strukturbeschichtet,Braungrau RAL  7013,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,022",gid://shopify/Product/15970088223050,gid://shopify/ProductVariant/62971845411146,7.76,DURAL GmbH,10000,3.25,76042990,107385,153242,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4480,1070138121,Profile,Abschlussprofile rund,"Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm 250 cm","Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: strukturbeschichtet, Farbe: braungrau (RAL 7013), Profilhöhe: 12,5 mm, Länge: 250 cm.","Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm 250 cm","DRACS 125-7013, 250",4018448187722,STORABLE,lfm,gid://shopify/Product/15970088845642,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,strukturbeschichtet,Braungrau RAL  7013,DURONDELL,A,lfm,,10,40,,,250,"12,5",,,,,,"0,198",gid://shopify/Product/15970088845642,gid://shopify/ProductVariant/62971846033738,17.16,DURAL GmbH,10000,7.18,76042990,107386,153246,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4490,1070138122,Profile,Abschlussprofile rund,"Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm Blister 2 Stück","Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: strukturbeschichtet, Farbe: braungrau (RAL 7013), Profilhöhe: 12,5 mm, Verpackung: Blister 2 Stück.","Aussenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm Blister 2 Stück","DRACS 125-7013-Y, 2",4018448187784,STORABLE,Stk.,gid://shopify/Product/15970089173322,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,strukturbeschichtet,Braungrau RAL  7013,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,"12,5",,,,,,"0,022",gid://shopify/Product/15970089173322,gid://shopify/ProductVariant/62971846361418,7.76,DURAL GmbH,10000,3.25,76042990,107387,153250,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4500,1070138124,Profile,Abschlussprofile rund,"Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm Blister 2 Stück","Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: strukturbeschichtet, Farbe: braungrau (RAL 7013), Profilhöhe: 12,5 mm, Verpackung: Blister 2 Stück.","Innenecke für Viertelkreis-Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 12,5 mm Blister 2 Stück","DRACS 125-7013-YI, 2",4018448187852,STORABLE,Stk.,gid://shopify/Product/15970089566538,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,strukturbeschichtet,Braungrau RAL  7013,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,"12,5",,,,,,"0,022",gid://shopify/Product/15970089566538,gid://shopify/ProductVariant/62971846754634,7.76,DURAL GmbH,10000,3.25,76042990,107388,153254,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4510,1070168061,Profile,Abschlussprofile rund,Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm 250 cm,"Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: mm, Länge: 250 cm.",Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm 250 cm,"DRACM 60-7016, 250",4018448184608,STORABLE,lfm,gid://shopify/Product/15970089697610,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,lfm,,10,40,,,250,6,,,,,,"0,118",gid://shopify/Product/15970089697610,gid://shopify/ProductVariant/62971846885706,11.52,DURAL GmbH,10000,4.83,76042990,107389,153258,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4520,1070168062,Profile,Abschlussprofile rund,Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm Blister 2 Stück,"Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: mm, Verpackung: Blister 2 Stück.",Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm Blister 2 Stück,"DRACM 60-7016-Y, 2",4018448184738,STORABLE,Stk.,gid://shopify/Product/15970090090826,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,6,,,,,,"0,022",gid://shopify/Product/15970090090826,gid://shopify/ProductVariant/62971847278922,7,DURAL GmbH,10000,2.93,76042990,107390,153262,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4530,1070168064,Profile,Abschlussprofile rund,Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm Blister 2 Stück,"Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: mm, Verpackung: Blister 2 Stück.",Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) mm Blister 2 Stück,"DRACM 60-7016-YI, 2",4018448184813,STORABLE,Stk.,gid://shopify/Product/15970090287434,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,6,,,,,,"0,022",gid://shopify/Product/15970090287434,gid://shopify/ProductVariant/62971847475530,7,DURAL GmbH,10000,2.93,76042990,107391,153266,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4540,1070168081,Profile,Abschlussprofile rund,Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm 250 cm,"Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 8 mm, Länge: 250 cm.",Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm 250 cm,"DRACM 80-7016, 250",4018448184622,STORABLE,lfm,gid://shopify/Product/15970090975562,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,lfm,,10,40,,,250,8,,,,,,"0,145",gid://shopify/Product/15970090975562,gid://shopify/ProductVariant/62971848163658,12.28,DURAL GmbH,10000,5.13,76042990,107392,153270,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4550,1070168082,Profile,Abschlussprofile rund,Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm Blister 2 Stück,"Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 8 mm, Verpackung: Blister 2 Stück.",Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm Blister 2 Stück,"DRACM 80-7016-Y, 2",4018448184769,STORABLE,Stk.,gid://shopify/Product/15970091303242,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,022",gid://shopify/Product/15970091303242,gid://shopify/ProductVariant/62971848491338,7.1,DURAL GmbH,10000,2.97,76042990,107393,153274,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4560,1070168084,Profile,Abschlussprofile rund,Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm Blister 2 Stück,"Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 8 mm, Verpackung: Blister 2 Stück.",Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 8 mm Blister 2 Stück,"DRACM 80-7016-YI, 2",4018448184820,STORABLE,Stk.,gid://shopify/Product/15970091991370,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,022",gid://shopify/Product/15970091991370,gid://shopify/ProductVariant/62971849277770,7.1,DURAL GmbH,10000,2.97,76042990,107394,153278,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4570,1070168101,Profile,Abschlussprofile rund,Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm 250 cm,"Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 10 mm, Länge: 250 cm.",Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm 250 cm,"DRACM 100-7016, 250",4018448184691,STORABLE,lfm,gid://shopify/Product/15970092319050,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,lfm,,10,40,,,250,10,,,,,,"0,164",gid://shopify/Product/15970092319050,gid://shopify/ProductVariant/62971849965898,13.06,DURAL GmbH,10000,5.47,76042990,107395,153282,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4580,1070168102,Profile,Abschlussprofile rund,Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm Blister 2 Stück,"Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 10 mm, Verpackung: Blister 2 Stück.",Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm Blister 2 Stück,"DRACM 100-7016-Y, 2",4018448184776,STORABLE,Stk.,gid://shopify/Product/15970092843338,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,10,,,,,,"0,022",gid://shopify/Product/15970092843338,gid://shopify/ProductVariant/62971850490186,7.2,DURAL GmbH,10000,3.01,76042990,107396,153286,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4590,1070168104,Profile,Abschlussprofile rund,Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm Blister 2 Stück,"Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 10 mm, Verpackung: Blister 2 Stück.",Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 10 mm Blister 2 Stück,"DRACM 100-7016-YI, 2",4018448184837,STORABLE,Stk.,gid://shopify/Product/15970093203786,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,10,,,,,,"0,022",gid://shopify/Product/15970093203786,gid://shopify/ProductVariant/62971850850634,7.2,DURAL GmbH,10000,3.01,76042990,107397,153290,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4600,1070168111,Profile,Abschlussprofile rund,Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm 250 cm,"Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 11 mm, Länge: 250 cm.",Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm 250 cm,"DRACM 110-7016, 250",4018448184714,STORABLE,lfm,gid://shopify/Product/15970093826378,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,lfm,,10,40,,,250,11,,,,,,"0,179",gid://shopify/Product/15970093826378,gid://shopify/ProductVariant/62971851505994,13.38,DURAL GmbH,10000,5.59,76042990,107398,153294,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4610,1070168112,Profile,Abschlussprofile rund,Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm Blister 2 Stück,"Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 11 mm, Verpackung: Blister 2 Stück.",Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm Blister 2 Stück,"DRACM 110-7016-Y, 2",4018448184790,STORABLE,Stk.,gid://shopify/Product/15970093990218,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,022",gid://shopify/Product/15970093990218,gid://shopify/ProductVariant/62971851964746,7.26,DURAL GmbH,10000,3.04,76042990,107399,153298,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4620,1070168114,Profile,Abschlussprofile rund,Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm Blister 2 Stück,"Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 11 mm, Verpackung: Blister 2 Stück.",Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 11 mm Blister 2 Stück,"DRACM 110-7016-YI, 2",4018448184851,STORABLE,Stk.,gid://shopify/Product/15970094481738,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,022",gid://shopify/Product/15970094481738,gid://shopify/ProductVariant/62971852489034,7.26,DURAL GmbH,10000,3.04,76042990,107400,153302,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4630,1070168121,Profile,Abschlussprofile rund,"Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm 250 cm","Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 12,5 mm, Länge: 250 cm.","Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm 250 cm","DRACM 125-7016, 250",4018448184721,STORABLE,lfm,gid://shopify/Product/15970094678346,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,lfm,,10,40,,,250,"12,5",,,,,,"0,198",gid://shopify/Product/15970094678346,gid://shopify/ProductVariant/62971852685642,14.3,DURAL GmbH,10000,5.98,76042990,107401,153306,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4640,1070168122,Profile,Abschlussprofile rund,"Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm Blister 2 Stück","Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 12,5 mm, Verpackung: Blister 2 Stück.","Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm Blister 2 Stück","DRACM 125-7016-Y, 2",4018448184806,STORABLE,Stk.,gid://shopify/Product/15970095694154,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,"12,5",,,,,,"0,022",gid://shopify/Product/15970095694154,gid://shopify/ProductVariant/62971853701450,7.32,DURAL GmbH,10000,3.07,76042990,107402,153310,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4650,1070168124,Profile,Abschlussprofile rund,"Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm Blister 2 Stück","Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: anthrazitgrau matt (RAL 7016), Profilhöhe: 12,5 mm, Verpackung: Blister 2 Stück.","Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet anthrazitgrau matt (RAL 7016) 12,5 mm Blister 2 Stück","DRACM 125-7016-YI, 2",4018448184882,STORABLE,Stk.,gid://shopify/Product/15970096349514,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Anthrazitgrau matt RAL  7016,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,"12,5",,,,,,"0,022",gid://shopify/Product/15970096349514,gid://shopify/ProductVariant/62971854422346,7.32,DURAL GmbH,10000,3.07,76042990,107403,153314,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4660,1070218061,Profile,Abschlussprofile rund,Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm 250 cm,"Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: schwarzgrau matt (RAL 7021), Profilhöhe: mm, Länge: 250 cm.",Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm 250 cm,"DRACM 60-7021, 250",4018448184905,STORABLE,lfm,gid://shopify/Product/15970097660234,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Schwarzgrau matt RAL  7021,DURONDELL,A,lfm,,10,40,,,250,6,,,,,,"0,118",gid://shopify/Product/15970097660234,gid://shopify/ProductVariant/62971855995210,11.52,DURAL GmbH,10000,4.83,76042990,107404,153318,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4670,1070218062,Profile,Abschlussprofile rund,Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm Blister 2 Stück,"Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: schwarzgrau matt (RAL 7021), Profilhöhe: mm, Verpackung: Blister 2 Stück.",Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm Blister 2 Stück,"DRACM 60-7021-Y, 2",4018448184967,STORABLE,Stk.,gid://shopify/Product/15970098413898,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Schwarzgrau matt RAL  7021,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,6,,,,,,"0,022",gid://shopify/Product/15970098413898,gid://shopify/ProductVariant/62971856748874,7,DURAL GmbH,10000,2.93,76042990,107405,153322,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4680,1070218064,Profile,Abschlussprofile rund,Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm Blister 2 Stück,"Innenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil bildet einen sauberen Anschluss an Innenecken und ergänzt Profile mit passender Höhe. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: schwarzgrau matt (RAL 7021), Profilhöhe: mm, Verpackung: Blister 2 Stück.",Innenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) mm Blister 2 Stück,"DRACM 60-7021-YI, 2",4018448185018,STORABLE,Stk.,gid://shopify/Product/15970099265866,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Schwarzgrau matt RAL  7021,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,6,,,,,,"0,022",gid://shopify/Product/15970099265866,gid://shopify/ProductVariant/62971857600842,7,DURAL GmbH,10000,2.93,76042990,107406,153326,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4690,1070218081,Profile,Abschlussprofile rund,Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm 250 cm,"Viertelkreis-Abschlussprofil für Wand- und Bodenbeläge mit gerundeter Sichtkante. Das Profil schützt Belagskanten und bildet einen sauberen Abschluss an keramischen Fliesen und Platten. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: schwarzgrau matt (RAL 7021), Profilhöhe: 8 mm, Länge: 250 cm.",Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm 250 cm,"DRACM 80-7021, 250",4018448184929,STORABLE,lfm,gid://shopify/Product/15970099790154,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Schwarzgrau matt RAL  7021,DURONDELL,A,lfm,,10,40,,,250,8,,,,,,"0,145",gid://shopify/Product/15970099790154,gid://shopify/ProductVariant/62971858878794,12.28,DURAL GmbH,10000,5.13,76042990,107407,153330,,4259,05.07.2026 20:08,24.08.2026 16:48,20325,16
020.010.4700,1070218082,Profile,Abschlussprofile rund,Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm Blister 2 Stück,"Aussenecke als Formteil für Viertelkreis-Abschlussprofile. Das Formteil führt die Profilkontur über Aussenecken weiter und sorgt für einen sauberen Abschluss der Belagskante. Material: Aluminium, Oberfläche: pulverbeschichtet, Farbe: schwarzgrau matt (RAL 7021), Profilhöhe: 8 mm, Verpackung: Blister 2 Stück.",Aussenecke für Viertelkreis-Abschlussprofil Aluminium pulverbeschichtet schwarzgrau matt (RAL 7021) 8 mm Blister 2 Stück,"DRACM 80-7021-Y, 2",4018448184974,STORABLE,Stk.,gid://shopify/Product/15970100674890,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Schwarzgrau matt RAL  7021,DURONDELL,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,022",gid://shopify/Product/15970100674890,gid://shopify/ProductVariant/62971859829066,7.1,DURAL GmbH,10000,2.97,76042990,107408,153334,,3566,05.07.2026 20:08,24.08.2026 16:48,20325,16
