Prosema Artikelnummer,Kategorie,Lieferanten Firmenname,Artikelnr.,Beschreibung,PROSEMA Kurztext,PROSEMA Langtext,SEO Meta Title,SEO Meta Description,Fokus-Keyword,Shopify Tags,Datenstatus,Referenz (Matchcode),Hauptgruppe,Untergruppe,Produktfamilie,Grundmaterial,Oberfläche,Farbe,Breite mm,Länge cm,Höhe mm,Basiseinheitencode,Nettogewicht kg,Verpackung,GTIN (EAN-Nummer),Zolltarifnummer,Einkaufspreis EUR netto,"Verkaufspreis €, BE",Einkaufspreis Prosema,Verkaufspreis,Verkaufspreis o. Verkn.,Verkaufseinheit,Rabattkategorie_Lieferant,VPE 1,VPE 2,VPE 3,Lieferantennummer,Produktfoto 1
020.030.0670,,Dural GmbH,121081133,DPSACS 1133 250 CM STRUKTUR ANTHRAZIT,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet anthrazit 11 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: anthrazit; Profilhöhe: 11 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet anthrazit 11 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 11 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, anthrazit, 11 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1133, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Anthrazit,,250,11,lfm,"0,154",,4018448087060,76042990,,21.06,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_anthracite.jpg"
020.030.0680,,Dural GmbH,1210811334,DPSACS 1133-Y STRUKTUR ANTHRAZIT 2 STK.,"Aussenecke Aluminium strukturbeschichtet anthrazit für quadratisches Abschlussprofil 11 mm, Blister 2 Stück",Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 11 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in anthrazit. Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.,"Aussenecke Aluminium strukturbeschichtet anthrazit für quadratisches Abschlussprofil 11 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 11 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, anthrazit, 11 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1133-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Anthrazit,,,11,Stk.,"0,010",Blister 2 Stück,4018448087053,76042990,,8.14,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_black.jpg"
020.030.0690,,Dural GmbH,121081135,DPSACS 1135 250 CM STRUKTUR BRAUN,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet braun 11 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: braun; Profilhöhe: 11 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet braun 11 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 11 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, braun, 11 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1135, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Braun,,250,11,lfm,"0,154",,4018448087039,76042990,,21.06,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_brown.jpg"
020.030.0700,,Dural GmbH,1210811354,DPSACS 1135-Y STRUKTUR BRAUN 2 STK.,"Aussenecke Aluminium strukturbeschichtet braun für quadratisches Abschlussprofil 11 mm, Blister 2 Stück",Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 11 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in braun. Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.,"Aussenecke Aluminium strukturbeschichtet braun für quadratisches Abschlussprofil 11 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 11 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, braun, 11 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1135-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Braun,,,11,Stk.,"0,010",Blister 2 Stück,4018448087046,76042990,,8.14,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_brown.jpg"
020.030.0710,,Dural GmbH,121081200,DPSA 125 250 CM ALU NATUR,"Quadratisches Abschlussprofil Aluminium unbehandelt natur 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: unbehandelt; Farbe: natur; Profilhöhe: 12,5 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium unbehandelt natur 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, unbehandelt, 12,5 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, unbehandelt, natur, 12,5 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSA 125, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[unbehandelt],Natur,,250,"12,5",lfm,"0,191",,4018448031452,76042990,,10.28,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsa_natural.jpg?v=2"
020.030.0720,,Dural GmbH,121081232,DPSACS 1232 250 CM STRUKTUR BEIGE,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet beige 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: beige; Profilhöhe: 12,5 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet beige 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 12,5 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, beige, 12,5 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1232, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Beige,,250,"12,5",lfm,"0,174",,4018448166413,76042990,,22.74,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, squareline_dpsacs_1132_beige_.jpg"
020.030.0730,,Dural GmbH,1210812324,DPSACS 1232-Y STRUKTUR BEIGE 2 STK.,"Aussenecke Aluminium strukturbeschichtet beige für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück","Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 12,5 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in beige. Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.","Aussenecke Aluminium strukturbeschichtet beige für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 12,5 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, beige, 12,5 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1232-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Beige,,,"12,5",Stk.,"0,010",Blister 2 Stück,4018448166420,76042290,,8.14,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_beige.jpg"
020.030.0740,,Dural GmbH,121081233,DPSACS 1233 250 CM STRUKTUR ANTHRAZIT,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet anthrazit 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: anthrazit; Profilhöhe: 12,5 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet anthrazit 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 12,5 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, anthrazit, 12,5 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1233, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Anthrazit,,250,"12,5",lfm,"0,174",,4018448166499,76042290,,22.74,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_anthracite.jpg"
020.030.0750,,Dural GmbH,1210812334,DPSACS 1233-Y STRUKTUR ANTHRAZIT 2 STK.,"Aussenecke Aluminium strukturbeschichtet anthrazit für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück","Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 12,5 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in anthrazit. Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.","Aussenecke Aluminium strukturbeschichtet anthrazit für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 12,5 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, anthrazit, 12,5 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1233-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Anthrazit,,,"12,5",Stk.,"0,010",Blister 2 Stück,4018448166505,76042290,,8.14,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_black.jpg"
020.030.0760,,Dural GmbH,121081235,DPSACS 1235 250 CM STRUKTUR BRAUN,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet braun 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: braun; Profilhöhe: 12,5 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet braun 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 12,5 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, braun, 12,5 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1235, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Braun,,250,"12,5",lfm,"0,174",,4018448166338,76042990,,22.74,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_brown.jpg"
020.030.0770,,Dural GmbH,1210812354,DPSACS 1235-Y STRUKTUR BRAUN 2 STK.,"Aussenecke Aluminium strukturbeschichtet braun für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück","Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 12,5 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in braun. Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.","Aussenecke Aluminium strukturbeschichtet braun für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 12,5 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, braun, 12,5 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 1235-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Braun,,,"12,5",Stk.,"0,010",Blister 2 Stück,4018448166345,76042290,,8.14,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_brown.jpg"
020.030.0780,,Dural GmbH,12110138081,DPSACS 80-1013 250 CM ALU PERLWEISS FEINSTRUKTUR,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 8 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: perlweiss (RAL 1013); Profilhöhe: 8 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 8 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 8 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 8 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 80-1013, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Perlweiss RAL  1013,,250,8,lfm,"0,152",,4018448181171,76042990,,15.1,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_oyster-white.jpg"
020.030.0790,,Dural GmbH,12110138084,DPSACS 80-1013-Y PERLWEISS FEINSTRUKTUR 2 STK.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück",Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 8 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in perlweiss (RAL 1013). Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 8 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 8 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 8 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 80-1013-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Perlweiss RAL  1013,,,8,Stk.,"0,01",Blister 2 Stück,4018448181218,76042990,,8.64,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_oyster-white.jpg"
020.030.0800,,Dural GmbH,12110138101,DPSACS 100-1013 250 CM ALU PERLWEISS FEINSTRUKTUR,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 10 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: perlweiss (RAL 1013); Profilhöhe: 10 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 10 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 10 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 10 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 100-1013, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Perlweiss RAL  1013,,250,10,lfm,"0,165",,4018448181188,76042990,,18.12,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_oyster-white.jpg"
020.030.0810,,Dural GmbH,12110138104,DPSACS 100-1013-Y PERLWEISS FEINSTRUKTUR 2 STK.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück",Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 10 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in perlweiss (RAL 1013). Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 10 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 10 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 10 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 100-1013-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Perlweiss RAL  1013,,,10,Stk.,"0,01",Blister 2 Stück,4018448181225,76042990,,8.64,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_oyster-white.jpg"
020.030.0820,,Dural GmbH,12110138111,DPSACS 110-1013 250 CM ALU PERLWEISS FEINSTRUKTUR,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 11 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: perlweiss (RAL 1013); Profilhöhe: 11 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 11 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 11 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 11 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 110-1013, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Perlweiss RAL  1013,,250,11,lfm,"0,174",,4018448181195,76042990,,19.74,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_oyster-white.jpg"
020.030.0830,,Dural GmbH,12110138114,DPSACS 110-1013-Y PERLWEISS FEINSTRUKTUR 2 STK.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück",Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 11 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in perlweiss (RAL 1013). Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 11 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 11 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 11 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 110-1013-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Perlweiss RAL  1013,,,11,Stk.,"0,01",Blister 2 Stück,4018448181232,76042990,,8.64,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_oyster-white.jpg"
020.030.0840,,Dural GmbH,12110138121,DPSACS 125-1013 250 CM ALU PERLWEISS FEINSTRUKTUR,"Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge","Quadratisches Abschlussprofil aus Aluminium für Wand- und Bodenbeläge. Das Profil dient dem Schutz freiliegender Belagskanten und erzeugt einen klaren, rechtwinkligen Abschluss. Material: Aluminium; Oberfläche: strukturbeschichtet; Farbe: perlweiss (RAL 1013); Profilhöhe: 12,5 mm; Länge: 250 cm. Geeignet für keramische Beläge sowie für dekorative Kantenabschlüsse im Innenbereich.","Quadratisches Abschlussprofil Aluminium strukturbeschichtet perlweiss (RAL 1013) 12,5 mm, Länge 250 cm für Wand- und Bodenbeläge | PROSEMA","Quadratisches Abschlussprofil aus Aluminium, strukturbeschichtet, 12,5 mm, Länge 250 cm, für Wand- und Bodenbeläge.",quadratisches Abschlussprofil Aluminium,"Quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 12,5 mm, 250 cm, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 125-1013, 250",Profile,Abschlussprofile quadratisch,SQUARELINE,Aluminium,[strukturbeschichtet],Perlweiss RAL  1013,,250,"12,5",lfm,"0,191",,4018448181201,76042990,,21.74,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_oyster-white.jpg"
020.030.0850,,Dural GmbH,12110138124,DPSACS 125-1013-Y PERLWEISS FEINSTRUKTUR 2 STK.,"Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück","Aussenecke für quadratisches Abschlussprofil zur formschlüssigen Ausbildung von Profilanschlüssen im Wand- und Bodenbereich. Das Zubehör ist auf eine Profilhöhe von 12,5 mm abgestimmt und besteht aus Aluminium mit Oberfläche strukturbeschichtet in perlweiss (RAL 1013). Verpackungseinheit: Blister 2 Stück. Geeignet für sauber ausgebildete Innen- und Aussenecken bei keramischen Belägen.","Aussenecke Aluminium strukturbeschichtet perlweiss (RAL 1013) für quadratisches Abschlussprofil 12,5 mm, Blister 2 Stück | PROSEMA","Aussenecke für Profilanschlüsse, abgestimmt auf 12,5 mm. Aus Aluminium",Aussenecke Abschlussprofil,"Aussenecke, quadratisches Abschlussprofil, Aluminium, strukturbeschichtet, perlweiss (RAL 1013), 12,5 mm, Blister 2 Stück, Wand, Boden",PPDS 2.0 geprüft,"DPSACS 125-1013-Y, 2",Profile,Abschlussprofile quadratisch,SQUARELINE,,[strukturbeschichtet],Perlweiss RAL  1013,,,"12,5",Stk.,"0,01",Blister 2 Stück,4018448181249,76042990,,8.64,,,,"€, Stück",A,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_squareline_dpsacs_y_oyster-white.jpg"
