Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema)
wird autogeneriert,J0220006,,,JURAFLEX Fugenband 10 x 60 mm,,JURAFLEX Fugenband 10 x 60 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220008,,,JURAFLEX Fugenband 10 x 80 mm,,JURAFLEX Fugenband 10 x 80 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220010,,,JURAFLEX Fugenband 10 x 100 mm,,JURAFLEX Fugenband 10 x 100 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220012,,,JURAFLEX Fugenband 10 x 120 mm,,JURAFLEX Fugenband 10 x 120 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220014,,,JURAFLEX Fugenband 10 x 140 mm,,JURAFLEX Fugenband 10 x 140 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220016,,,JURAFLEX Fugenband 10 x 160 mm,,JURAFLEX Fugenband 10 x 160 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220018,,,JURAFLEX Fugenband 10 x 180 mm,,JURAFLEX Fugenband 10 x 180 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220020,,,JURAFLEX Fugenband 10 x 200 mm,,JURAFLEX Fugenband 10 x 200 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220022,,,JURAFLEX Fugenband 10 x 220 mm,,JURAFLEX Fugenband 10 x 220 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220024,,,JURAFLEX Fugenband 10 x 240 mm,,JURAFLEX Fugenband 10 x 240 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220026,,,JURAFLEX Fugenband 10 x 260 mm,,JURAFLEX Fugenband 10 x 260 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220028,,,JURAFLEX Fugenband 10 x 280 mm,,JURAFLEX Fugenband 10 x 280 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220030,,,JURAFLEX Fugenband 10 x 300 mm,,JURAFLEX Fugenband 10 x 300 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220032,,,JURAFLEX Fugenband 10 x 320 mm,,JURAFLEX Fugenband 10 x 320 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220034,,,JURAFLEX Fugenband 10 x 340 mm,,JURAFLEX Fugenband 10 x 340 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220036,,,JURAFLEX Fugenband 10 x 360 mm,,JURAFLEX Fugenband 10 x 360 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220038,,,JURAFLEX Fugenband 10 x 380 mm,,JURAFLEX Fugenband 10 x 380 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220040,,,JURAFLEX Fugenband 10 x 400 mm,,JURAFLEX Fugenband 10 x 400 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0221314,,,JURAFLEX FUGENBAND 10 x 140 mm mit Abrisskante,,JURAFLEX FUGENBAND 10 x 140 mm mit Abrisskante,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0221320,,,JURAFLEX FUGENBAND 10 x 200 mm mit Abrisskante,,JURAFLEX FUGENBAND 10 x 200 mm mit Abrisskante,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0221322,,,JURAFLEX FUGENBAND 10 x 220 mm mit Abrisskante,,JURAFLEX FUGENBAND 10 x 220 mm mit Abrisskante,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0221401,,,JURAFLEX PE Universal-Fugenband 8 x 300 mm,,JURAFLEX PE Universal-Fugenband 8 x 300 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,20 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0221402,,,JURAFLEX PE Universal-Fugenband 10 x 300 mm,,JURAFLEX PE Universal-Fugenband 10 x 300 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0221404,,,JURAFLEX PE Universal-Fugenband 10 x 400 mm,,JURAFLEX PE Universal-Fugenband 10 x 400 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111425,,,TNV Trass-Natursteinverlegemörtel flexibel,,TNV Trass-Natursteinverlegemörtel flexibel,,4250935100641,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111125,,,TZM Trass-Zementmörtel,,TZM Trass-Zementmörtel,,4250935100610,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0803725,,,TKM Trasskalkmörtel,,TKM Trasskalkmörtel,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111225,,,NKW Natursteinkleber weiß,,NKW Natursteinkleber weiß,,4250935100627,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111325,,,"NKWs Natursteinkleber weiß, schnell",,"NKWs Natursteinkleber weiß, schnell",,4250935100634,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111825,,,MBM-T Mittelbettmörtel Trass,,MBM-T Mittelbettmörtel Trass,,4250935102805,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111525,,,TNF Trass-Natursteinfuge,,TNF Trass-Natursteinfuge,,4250935100658,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0140210,,,KNF Keramik- und Natursteinfuge premium dunkelgrau,,KNF Keramik- und Natursteinfuge premium dunkelgrau,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Eimer,10 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0140110,,,KNF Keramik- und Natursteinfuge premium mittelgrau,,KNF Keramik- und Natursteinfuge premium mittelgrau,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Eimer,10 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0140010,,,KNF Keramik- und Natursteinfuge premium sand,,KNF Keramik- und Natursteinfuge premium sand,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Natursteinmörtel und -kleber,,Eimer,10 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0802025,,,Schachtkopfmörtel schnell,,Schachtkopfmörtel schnell,,4250935102966,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0213221,,,ADS-F Abdichtungsspachtel filzbar,,ADS-F Abdichtungsspachtel filzbar,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Gebinde,15 kg + 6 l,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1400620,,,SBA plus Schnellbauabdichtung,,SBA plus Schnellbauabdichtung,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Gebinde,20 kg,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1400505,,,Universalgrundierung UG,,Universalgrundierung UG,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Kanister,5 l,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1400520,,,Universalgrundierung UG,,Universalgrundierung UG,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Kanister,20 l,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0210901,,,PU-Bindemittel,,PU-Bindemittel,,4250935102720,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Dose,1 kg Dose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0210905,,,PU-Bindemittel,,PU-Bindemittel,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Kanister,5 kg Kanister,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0500001,,,EGM Epoxi-Grundier- und Multifunktionsharz,,EGM Epoxi-Grundier- und Multifunktionsharz,,4250935101587,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Gebinde,1 kg Beutel,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0500002,,,EGM Epoxi-Grundier- und Multifunktionsharz,,EGM Epoxi-Grundier- und Multifunktionsharz,,4250935101594,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Gebinde,2 kg Dose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0290401,,,Porenfüller,,Porenfüller,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Ergänzungsprodukte,,Flasche,1 l Flasche,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0291000,,,Handdüse,,Handdüse,,4250935101525,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Werkzeuge und Geräte,,Stück,1 Stück,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0291001,,,Mischbehälter,,Mischbehälter,,4250935101532,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Werkzeuge und Geräte,,Stück,1 Stück,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0211000,,,Primerflasche 125 ml mit Pinsel,,Primerflasche 125 ml mit Pinsel,,4250935101051,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Werkzeuge und Geräte,,Stück,1 Stück,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0211001,,,Ersatzpinsel für Primerflasche,,Ersatzpinsel für Primerflasche,,4250935101068,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Werkzeuge und Geräte,,Stück,1 Stück,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0210302,,,Dichtstoffpistole H2PS für Schlauchb. 600 ml,,Dichtstoffpistole H2PS für Schlauchb. 600 ml,,4250935102829,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Werkzeuge und Geräte,,Stück,1 Stück,,,,,,,Nein,Nein,Nein,Nein,,,,
